Year,Round,GridPercentile,TrackTemp,AirTemp,TotalLaps,SafetyCarLaps,DegradationRate,First_Compound,Num_Stops,First_Pit_Lap
2019,3,0.85,27.33700787401575,19.32992125984252,56,0,-0.822238095238095,MEDIUM,2,23.0
2019,3,0.9,27.33700787401575,19.32992125984252,56,0,-0.6963600000000002,MEDIUM,1,27.0
2019,3,0.75,27.33700787401575,19.32992125984252,56,0,,MEDIUM,3,2.0
2019,3,0.55,27.33700787401575,19.32992125984252,56,0,-3.3399999999999985,MEDIUM,3,8.0
2019,3,0.4,27.33700787401575,19.32992125984252,56,0,-1.3185000000000002,SOFT,1,12.0
2019,4,0.25,39.65426356589147,19.76356589147287,51,0,0.2187777777777787,SOFT,1,11.0
2019,4,0.4,39.65426356589147,19.76356589147287,51,0,-0.18639393939393928,MEDIUM,2,35.0
2019,4,0.65,39.65426356589147,19.76356589147287,51,0,0.14633333333333415,SOFT,1,11.0
2019,4,0.6,39.65426356589147,19.76356589147287,51,0,-0.5330000000000013,SOFT,2,8.0
2019,4,0.55,39.65426356589147,19.76356589147287,51,0,-0.062454545454545235,SOFT,1,13.0
2019,4,0.3,39.65426356589147,19.76356589147287,51,0,,SOFT,1,6.0
2019,4,0.75,39.65426356589147,19.76356589147287,51,0,-0.5404285714285716,SOFT,2,9.0
2019,4,0.5,39.65426356589147,19.76356589147287,51,0,0.18033333333333226,SOFT,1,11.0
2019,4,0.2,39.65426356589147,19.76356589147287,51,0,-0.1693076923076918,SOFT,1,15.0
2019,4,0.35,39.65426356589147,19.76356589147287,51,0,0.31349999999999945,SOFT,2,10.0
2019,4,0.1,39.65426356589147,19.76356589147287,51,0,0.14683333333333337,SOFT,1,14.0
2019,4,0.15,39.65426356589147,19.76356589147287,51,0,0.12609999999999957,SOFT,1,12.0
2019,4,0.45,39.65426356589147,19.76356589147287,51,0,0.008454545454545775,SOFT,1,13.0
2019,4,0.8,39.65426356589147,19.76356589147287,51,0,-0.4589166666666665,MEDIUM,2,26.0
2019,4,0.0,39.65426356589147,19.76356589147287,51,0,-0.7061999999999984,SOFT,1,7.0
2019,4,0.05,39.65426356589147,19.76356589147287,51,0,0.3603636363636362,SOFT,1,13.0
2019,4,0.7,39.65426356589147,19.76356589147287,51,0,-0.3211212121212119,MEDIUM,1,35.0
2019,4,0.0,39.65426356589147,19.76356589147287,51,0,-0.8230769230769233,MEDIUM,3,15.0
2019,4,0.85,39.65426356589147,19.76356589147287,51,0,-0.36649999999999966,SOFT,1,8.0
2019,5,0.3,40.72727272727273,20.147727272727273,66,139,-0.1887619047619047,SOFT,2,23.0
2019,5,0.75,40.72727272727273,20.147727272727273,66,139,-0.3123913043478262,SOFT,2,25.0
2019,5,0.25,40.72727272727273,20.147727272727273,66,139,-0.183833333333333,SOFT,2,26.0
2019,5,0.8,40.72727272727273,20.147727272727273,66,139,-0.4153333333333337,MEDIUM,1,23.0
2019,5,0.4,40.72727272727273,20.147727272727273,66,139,-0.23027272727272738,SOFT,2,24.0
2019,5,0.55,40.72727272727273,20.147727272727273,66,139,-0.28487500000000016,SOFT,2,26.0
2019,5,0.45,40.72727272727273,20.147727272727273,66,139,-0.30189999999999984,SOFT,2,22.0
2019,5,0.0,40.72727272727273,20.147727272727273,66,139,-0.33082352941176485,MEDIUM,1,36.0
2019,5,0.65,40.72727272727273,20.147727272727273,66,139,-0.3861304347826087,SOFT,2,25.0
2019,5,0.2,40.72727272727273,20.147727272727273,66,139,-0.130684210526316,SOFT,2,21.0
2019,5,0.5,40.72727272727273,20.147727272727273,66,139,-0.3472399999999999,SOFT,1,27.0
2019,5,0.1,40.72727272727273,20.147727272727273,66,139,-0.009230769230769034,SOFT,2,28.0
2019,5,0.15,40.72727272727273,20.147727272727273,66,139,-0.1817777777777781,SOFT,2,20.0
2019,5,0.6,40.72727272727273,20.147727272727273,66,139,-0.22960869565217418,SOFT,2,25.0
2019,5,0.95,40.72727272727273,20.147727272727273,66,139,-0.2829677419354836,MEDIUM,2,33.0
2019,5,0.7,40.72727272727273,20.147727272727273,66,139,-0.5152222222222222,MEDIUM,2,29.0
2019,5,0.05,40.72727272727273,20.147727272727273,66,139,-0.039600000000000364,SOFT,2,27.0
2019,5,0.35,40.72727272727273,20.147727272727273,66,139,-0.1990799999999996,SOFT,2,27.0
2019,5,0.85,40.72727272727273,20.147727272727273,66,139,-0.2555999999999997,MEDIUM,2,32.0
2019,5,0.9,40.72727272727273,20.147727272727273,66,139,-1.3328000000000002,SOFT,2,7.0
2019,6,0.05,32.72949640287769,22.754676258992802,78,96,2.788499999999999,SOFT,1,12.0
2019,6,0.2,32.72949640287769,22.754676258992802,78,96,2.9259,SOFT,1,12.0
2019,6,0.1,32.72949640287769,22.754676258992802,78,96,3.4318,SOFT,2,12.0
2019,6,0.15,32.72949640287769,22.754676258992802,78,96,3.1357,SOFT,1,12.0
2019,6,0.4,32.72949640287769,22.754676258992802,78,96,0.2105769230769234,SOFT,2,28.0
2019,6,0.45,32.72949640287769,22.754676258992802,78,96,0.15517241379310345,SOFT,1,31.0
2019,6,0.35,32.72949640287769,22.754676258992802,78,96,0.08629032258064508,SOFT,1,33.0
